Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
28,John Chaney\chanejo01,F-C,29,TOT,16,,,1.6,5.4,.291,,,,1.6,5.4,.291,.291,1.3,1.8,.690,,,,1.3,,,,1.4,4.4
28,John Chaney\chanejo01,F-C,29,TRI,6,,,1.7,6.2,.270,,,,1.7,6.2,.270,.270,1.3,2.0,.667,,,,2.5,,,,2.2,4.7
28,John Chaney\chanejo01,F-C,29,SHE,10,,,1.5,4.9,.306,,,,1.5,4.9,.306,.306,1.2,1.7,.706,,,,0.5,,,,1.0,4.2
29,Leroy Chollet\chollle01,F,24,SYR,49,,,1.2,3.7,.341,,,,1.2,3.7,.341,.341,0.7,1.1,.625,,,,0.8,,,,1.1,3.2
30,Bill Closs\clossbi01,SF,28,AND,64,,,4.4,14.0,.315,,,,4.4,14.0,.315,.315,2.9,4.0,.718,,,,2.5,,,,3.0,11.8
31,Paul Cloyd\cloydpa01,G-F,29,TOT,7,,,1.0,3.7,.269,,,,1.0,3.7,.269,.269,0.7,1.1,.625,,,,0.3,,,,0.7,2.7
31,Paul Cloyd\cloydpa01,G-F,29,BLB,3,,,0.3,2.7,.125,,,,0.3,2.7,.125,.125,1.0,1.0,1.000,,,,0.3,,,,1.3,1.7
31,Paul Cloyd\cloydpa01,G-F,29,WAT,4,,,1.5,4.5,.333,,,,1.5,4.5,.333,.333,0.5,1.3,.400,,,,0.3,,,,0.3,3.5
32,Jack Coleman\colemja01,PF,25,ROC,68,,,3.7,9.8,.377,,,,3.7,9.8,.377,.377,1.3,1.8,.744,,,,2.3,,,,3.3,8.7
33,Bobby Cook\cookbo01,G-F,26,SHE,51,,,4.4,12.2,.358,,,,4.4,12.2,.358,.358,2.8,3.5,.790,,,,3.1,,,,2.2,11.5
34,Ray Corley\corlera01,G,22,SYR,60,,,2.0,6.2,.316,,,,2.0,6.2,.316,.316,1.3,2.0,.615,,,,1.8,,,,1.4,5.2
35,Jack Cotton\cottoja01,F-C,25,DNN,54,,,1.8,6.1,.292,,,,1.8,6.1,.292,.292,1.5,3.0,.509,,,,1.2,,,,3.4,5.1
36,Dillard Crocker\crockdi01,PF,25,DNN,53,,,4.6,15.8,.292,,,,4.6,15.8,.292,.292,4.4,6.0,.735,,,,1.6,,,,4.2,13.6
37,Chink Crossin\crossch01,G,25,PHW,64,,,2.9,9.0,.322,,,,2.9,9.0,.322,.322,1.2,1.6,.782,,,,2.3,,,,2.2,7.0
38,Fran Curran\currafr01,G,24,ROC,66,,,1.5,3.6,.417,,,,1.5,3.6,.417,.417,3.0,3.7,.826,,,,1.1,,,,1.7,6.0
39,Jimmy Darden\dardeji01,G,27,DNN,26,,,3.0,9.3,.321,,,,3.0,9.3,.321,.321,2.1,3.1,.688,,,,2.6,,,,2.6,8.1
40,Bob Davies*\daviebo01,PG,30,ROC,64,,,5.0,13.9,.357,,,,5.0,13.9,.357,.357,4.1,5.4,.752,,,,4.6,,,,2.9,14.0
41,Hook Dillon\dilloho01,F,26,WSC,22,,,0.5,2.5,.182,,,,0.5,2.5,.182,.182,0.7,1.0,.727,,,,0.2,,,,0.9,1.6
42,Earl Dodd\doddea01,F,25,DNN,9,,,0.7,3.0,.222,,,,0.7,3.0,.222,.222,0.3,0.6,.600,,,,0.7,,,,1.4,1.7
43,Joe Dolhon\dolhojo01,G,22,BLB,64,,,2.2,7.2,.312,,,,2.2,7.2,.312,.312,2.5,3.3,.734,,,,2.4,,,,3.0,6.9
44,Bob Doll\dollbo01,F-C,30,BOS,47,,,2.6,7.4,.346,,,,2.6,7.4,.346,.346,1.6,2.4,.658,,,,2.3,,,,2.5,6.7
45,Harry Donovan\donovha01,G,23,NYK,45,,,2.0,6.1,.327,,,,2.0,6.1,.327,.327,1.6,2.4,.689,,,,0.8,,,,2.4,5.6
46,Andy Duncan\duncaan01,F-C,27,ROC,67,,,1.9,4.3,.433,,,,1.9,4.3,.433,.433,0.9,1.6,.556,,,,0.6,,,,2.4,4.6
47,Dike Eddleman\eddledi01,SF,27,TRI,64,,,5.2,14.2,.366,,,,5.2,14.2,.366,.366,2.5,4.1,.623,,,,2.2,,,,4.0,12.9
48,Gene Englund\engluge01,F-C,32,TOT,46,,,2.3,6.0,.380,,,,2.3,6.0,.380,.380,3.3,4.2,.792,,,,0.9,,,,3.6,7.8
48,Gene Englund\engluge01,F-C,32,BOS,24,,,2.3,6.2,.372,,,,2.3,6.2,.372,.372,3.6,4.4,.811,,,,0.7,,,,4.0,8.2
48,Gene Englund\engluge01,F-C,32,TRI,22,,,2.2,5.7,.389,,,,2.2,5.7,.389,.389,3.0,3.9,.767,,,,1.1,,,,3.2,7.5
49,Bob Evans\evansbo01,G,24,INO,47,,,1.2,4.3,.280,,,,1.2,4.3,.280,.280,0.6,0.9,.682,,,,1.2,,,,2.1,3.0
50,Johnny Ezersky\ezersjo01,F-G,,TOT,54,,,2.6,9.0,.294,,,,2.6,9.0,.294,.294,2.4,3.4,.694,,,,1.6,,,,2.6,7.6
50,Johnny Ezersky\ezersjo01,F-G,,BLB,38,,,2.8,9.2,.305,,,,2.8,9.2,.305,.305,2.4,3.5,.697,,,,1.7,,,,2.6,8.1
50,Johnny Ezersky\ezersjo01,F-G,,BOS,16,,,2.3,8.5,.265,,,,2.3,8.5,.265,.265,2.2,3.2,.686,,,,1.4,,,,2.4,6.7
51,Bob Feerick\feeribo01,F-G,30,WSC,60,,,2.9,8.3,.344,,,,2.9,8.3,.344,.344,2.3,2.9,.799,,,,2.1,,,,2.3,8.1
52,George Feigenbaum\feigege01,G,20,BLB,12,,,1.2,4.8,.246,,,,1.2,4.8,.246,.246,0.7,1.5,.444,,,,0.8,,,,1.3,3.0
53,Arnie Ferrin\ferriar01,F-G,24,MNL,63,,,2.1,6.3,.333,,,,2.1,6.3,.333,.333,1.2,1.7,.697,,,,1.5,,,,2.3,5.4
54,Jerry Fleishman\fleisje01,SG,27,PHW,65,,,1.6,5.4,.289,,,,1.6,5.4,.289,.289,1.4,2.3,.616,,,,1.8,,,,2.0,4.6
55,Joe Fulks*\fulksjo01,PF,28,PHW,68,,,4.9,17.8,.278,,,,4.9,17.8,.278,.278,4.3,6.2,.696,,,,0.8,,,,3.5,14.2
56,Bill Gabor\gaborbi01,SG,27,SYR,56,,,4.0,12.0,.337,,,,4.0,12.0,.337,.337,2.8,4.1,.689,,,,1.9,,,,3.5,10.9
57,Elmer Gainer\gaineel01,F-C,31,WAT,15,,,0.6,2.3,.257,,,,0.6,2.3,.257,.257,0.4,0.5,.750,,,,0.5,,,,1.9,1.6
58,Harry Gallatin*\gallaha01,F-C,22,NYK,68,,,3.9,9.8,.396,,,,3.9,9.8,.396,.396,4.1,5.4,.757,,,,0.8,,,,3.2,11.8
59,Vern Gardner\gardnve01,SG,24,PHW,63,,,5.0,14.5,.342,,,,5.0,14.5,.342,.342,3.6,4.7,.767,,,,1.9,,,,3.7,13.5
60,Frank Gates\gatesfr01,G,29,AND,64,,,1.8,6.3,.281,,,,1.8,6.3,.281,.281,1.0,1.5,.622,,,,1.4,,,,2.3,4.5
61,Dee Gibson\gibsode01,F-G,26,TRI,44,,,1.8,5.6,.314,,,,1.8,5.6,.314,.314,2.9,4.0,.718,,,,2.9,,,,2.6,6.4
62,Hoot Gibson\gibsoho01,F-C,28,TOT,32,,,2.1,6.1,.344,,,,2.1,6.1,.344,.344,1.3,2.0,.656,,,,1.2,,,,3.3,5.5
62,Hoot Gibson\gibsoho01,F-C,28,BOS,2,,,1.5,2.0,.750,,,,1.5,2.0,.750,.750,0.5,2.0,.250,,,,0.5,,,,1.5,3.5
62,Hoot Gibson\gibsoho01,F-C,28,WAT,30,,,2.1,6.4,.335,,,,2.1,6.4,.335,.335,1.4,2.0,.683,,,,1.2,,,,3.4,5.6
63,Chuck Gilmur\gilmuch01,F-C,27,WSC,68,,,1.9,5.6,.335,,,,1.9,5.6,.335,.335,2.4,3.5,.680,,,,1.6,,,,4.0,6.1
64,Normie Glick\glickno01,F,22,MNL,1,,,1.0,1.0,1.000,,,,1.0,1.0,1.000,1.000,0.0,0.0,,,,,0.0,,,,1.0,2.0
65,Paul Gordon\gordopa01,F,22,BLB,4,,,0.0,1.5,.000,,,,0.0,1.5,.000,.000,0.8,1.3,.600,,,,0.8,,,,0.8,0.8
66,Joe Graboski\grabojo01,F-C,20,CHS,57,,,1.3,4.3,.304,,,,1.3,4.3,.304,.304,0.9,1.6,.596,,,,0.6,,,,1.7,3.6
67,Bud Grant\grantbu01,F,22,MNL,35,,,1.2,3.3,.365,,,,1.2,3.3,.365,.365,0.2,0.5,.412,,,,0.5,,,,1.0,2.6
68,Don Grate\gratedo01,F-G,26,SHE,2,,,0.5,3.0,.167,,,,0.5,3.0,.167,.167,1.0,1.0,1.000,,,,1.5,,,,1.5,2.0
69,Alex Groza\grozaal01,C,23,INO,64,,,8.1,17.0,.478,,,,8.1,17.0,.478,.478,7.1,9.7,.729,,,,2.5,,,,3.5,23.4
70,Al Guokas\guokaal01,F-G,24,TOT,57,,,1.6,5.2,.311,,,,1.6,5.2,.311,.311,0.5,0.9,.560,,,,1.7,,,,2.5,3.8
70,Al Guokas\guokaal01,F-G,24,DNN,41,,,2.1,6.6,.317,,,,2.1,6.6,.317,.317,0.6,1.1,.532,,,,2.1,,,,2.8,4.8
70,Al Guokas\guokaal01,F-G,24,PHW,16,,,0.4,1.8,.250,,,,0.4,1.8,.250,.250,0.2,0.2,1.000,,,,0.6,,,,1.7,1.1
71,Robert Hahn\hahnro01,C,24,CHS,10,,,0.4,1.3,.308,,,,0.4,1.3,.308,.308,0.2,0.7,.286,,,,0.1,,,,1.7,1.0
72,Chick Halbert\halbech01,C,30,WSC,68,,,1.6,4.2,.380,,,,1.6,4.2,.380,.380,1.6,2.6,.640,,,,1.3,,,,2.0,4.8
73,Bruce Hale\halebr01,G-F,31,INO,64,,,3.4,9.6,.353,,,,3.4,9.6,.353,.353,3.5,4.5,.782,,,,3.5,,,,2.2,10.3
74,Dale Hamilton\hamilda01,G-F,30,WAT,14,,,0.6,2.4,.242,,,,0.6,2.4,.242,.242,0.6,1.4,.474,,,,1.2,,,,2.1,1.8
75,Alex Hannum*\hannual01,PF,26,SYR,64,,,2.8,7.6,.363,,,,2.8,7.6,.363,.363,2.0,2.9,.688,,,,2.0,,,,4.1,7.5
76,John Hargis\hargijo01,G-F,29,AND,60,,,3.7,9.2,.405,,,,3.7,9.2,.405,.405,3.3,4.6,.711,,,,1.7,,,,2.8,10.7
77,Bob Harris\harribo01,F-C,22,FTW,62,,,2.7,7.5,.361,,,,2.7,7.5,.361,.361,2.3,3.6,.628,,,,2.1,,,,3.1,7.7
78,Bob Harrison\harribo02,G,22,MNL,66,,,1.9,5.3,.359,,,,1.9,5.3,.359,.359,0.8,1.1,.676,,,,2.0,,,,2.7,4.5
79,Billy Hassett\hassebi01,G,28,TOT,60,,,1.4,5.0,.278,,,,1.4,5.0,.278,.278,1.7,2.7,.646,,,,2.3,,,,2.3,4.5
79,Billy Hassett\hassebi01,G,28,TRI,18,,,2.6,8.7,.293,,,,2.6,8.7,.293,.293,3.8,5.2,.734,,,,3.8,,,,3.0,8.9
79,Billy Hassett\hassebi01,G,28,MNL,42,,,0.9,3.5,.262,,,,0.9,3.5,.262,.262,0.8,1.6,.522,,,,1.6,,,,2.0,2.6
80,Marshall Hawkins\hawkima01,F,25,INO,39,,,1.4,5.0,.282,,,,1.4,5.0,.282,.282,1.1,1.6,.689,,,,1.3,,,,2.2,3.9
81,Bill Henry\henrybi01,C,25,TOT,63,,,1.4,4.4,.320,,,,1.4,4.4,.320,.320,1.9,2.8,.670,,,,0.8,,,,1.9,4.7
81,Bill Henry\henrybi01,C,25,FTW,44,,,1.5,4.8,.311,,,,1.5,4.8,.311,.311,1.9,2.8,.672,,,,0.9,,,,2.3,4.9
81,Bill Henry\henrybi01,C,25,TRI,19,,,1.3,3.6,.348,,,,1.3,3.6,.348,.348,1.8,2.7,.667,,,,0.5,,,,1.2,4.3
82,Bill Herman\hermabi01,G,25,DNN,13,,,1.9,5.0,.385,,,,1.9,5.0,.385,.385,0.5,0.8,.545,,,,1.2,,,,1.0,4.3
83,Kleggie Hermsen\hermskl01,C-F,26,CHS,67,,,2.9,9.2,.319,,,,2.9,9.2,.319,.319,2.3,3.7,.619,,,,1.5,,,,4.0,8.1
84,Sonny Hertzberg\hertzso01,G,27,BOS,68,,,4.0,12.7,.318,,,,4.0,12.7,.318,.318,2.1,2.8,.749,,,,2.9,,,,2.3,10.2
85,Paul Hoffman\hoffmpa01,G-F,24,BLB,60,,,5.2,15.2,.341,,,,5.2,15.2,.341,.341,4.0,6.1,.665,,,,2.7,,,,3.9,14.4
86,Joe Holland\hollajo01,SF,24,INO,64,,,2.3,7.1,.320,,,,2.3,7.1,.320,.320,1.5,2.2,.690,,,,2.0,,,,3.4,6.1
87,Red Holzman*\holzmre01,PG,29,ROC,68,,,3.0,9.2,.330,,,,3.0,9.2,.330,.330,2.1,3.1,.686,,,,2.9,,,,1.0,8.2
88,Gene James\jamesge01,F,24,NYK,29,,,0.7,2.2,.297,,,,0.7,2.2,.297,.297,0.5,1.1,.452,,,,0.7,,,,1.8,1.8
89,Howie Janotta\janotho01,F,25,BLB,9,,,1.0,3.3,.300,,,,1.0,3.3,.300,.300,1.4,1.8,.813,,,,0.4,,,,1.1,3.4
90,Tony Jaros\jarosto01,F-G,29,MNL,61,,,1.4,4.7,.291,,,,1.4,4.7,.291,.291,1.2,1.6,.750,,,,1.0,,,,1.7,3.9
91,Buddy Jeannette*\jeannbu01,G,32,BLB,37,,,1.1,4.0,.284,,,,1.1,4.0,.284,.284,2.9,3.6,.820,,,,2.5,,,,2.2,5.2
92,Arnie Johnson\johnsar01,SF,29,ROC,68,,,2.2,5.5,.396,,,,2.2,5.5,.396,.396,2.9,4.3,.680,,,,2.1,,,,3.8,7.3
93,Ralph Johnson\johnsra01,PG,28,TOT,67,,,3.6,11.6,.312,,,,3.6,11.6,.312,.312,1.6,1.9,.806,,,,2.6,,,,3.1,8.8
93,Ralph Johnson\johnsra01,PG,28,AND,35,,,3.8,12.2,.312,,,,3.8,12.2,.312,.312,2.0,2.4,.855,,,,3.0,,,,3.2,9.6
93,Ralph Johnson\johnsra01,PG,28,FTW,32,,,3.4,11.0,.312,,,,3.4,11.0,.312,.312,1.0,1.4,.717,,,,2.1,,,,3.0,7.9
94,Wah Wah Jones\joneswa01,PF,23,INO,60,,,4.4,11.8,.374,,,,4.4,11.8,.374,.374,3.7,5.0,.751,,,,3.2,,,,4.0,12.5
95,Noble Jorgensen\jorgeno01,C,24,SHE,54,,,4.0,11.4,.353,,,,4.0,11.4,.353,.353,5.0,6.5,.766,,,,1.7,,,,3.7,13.0
96,George Kaftan\kaftage01,SF,21,BOS,55,,,3.6,9.7,.372,,,,3.6,9.7,.372,.372,2.5,3.8,.654,,,,2.6,,,,1.7,9.7
97,Leo Katkaveck\katkale01,G,26,WSC,54,,,1.9,6.1,.306,,,,1.9,6.1,.306,.306,0.6,1.0,.607,,,,1.3,,,,1.9,4.4
98,Jack Kerris\kerrija01,PF,25,TOT,68,,,2.3,7.1,.326,,,,2.3,7.1,.326,.326,2.5,3.8,.650,,,,1.7,,,,2.6,7.1
98,Jack Kerris\kerrija01,PF,25,TRI,4,,,2.0,6.5,.308,,,,2.0,6.5,.308,.308,2.5,3.0,.833,,,,2.0,,,,3.3,6.5
98,Jack Kerris\kerrija01,PF,25,FTW,64,,,2.3,7.1,.327,,,,2.3,7.1,.327,.327,2.5,3.9,.641,,,,1.7,,,,2.5,7.1
99,Bob Kinney\kinnebo01,C-F,29,BOS,60,,,3.9,10.4,.375,,,,3.9,10.4,.375,.375,3.4,5.3,.628,,,,1.7,,,,4.2,11.1
100,Walt Kirk\kirkwa01,PG,25,TOT,58,,,1.7,6.2,.269,,,,1.7,6.2,.269,.269,2.7,3.7,.718,,,,1.8,,,,2.7,6.0
100,Walt Kirk\kirkwa01,PG,25,AND,26,,,1.2,4.8,.248,,,,1.2,4.8,.248,.248,2.2,3.2,.687,,,,1.7,,,,2.4,4.6
100,Walt Kirk\kirkwa01,PG,25,TRI,32,,,2.1,7.4,.280,,,,2.1,7.4,.280,.280,3.1,4.2,.737,,,,1.9,,,,2.9,7.2
101,Leo Klier\klierle01,F-G,26,FTW,66,,,2.4,7.8,.304,,,,2.4,7.8,.304,.304,2.1,2.9,.742,,,,1.8,,,,2.7,6.9
102,Duane Klueh\kluehdu01,G,24,TOT,52,,,3.1,8.0,.384,,,,3.1,8.0,.384,.384,3.0,4.3,.707,,,,1.8,,,,2.1,9.1
102,Duane Klueh\kluehdu01,G,24,DNN,33,,,3.3,9.2,.364,,,,3.3,9.2,.364,.364,3.4,4.6,.725,,,,1.9,,,,2.2,10.0
102,Duane Klueh\kluehdu01,G,24,FTW,19,,,2.6,5.9,.438,,,,2.6,5.9,.438,.438,2.4,3.6,.667,,,,1.5,,,,2.0,7.6
103,Lee Knorek\knorele01,C,28,BLB,1,,,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,,,,0.0,,,,4.0,0.0
104,Milo Komenich\komenmi01,F-C,29,AND,64,,,3.8,13.5,.283,,,,3.8,13.5,.283,.283,2.3,3.9,.584,,,,1.9,,,,3.8,9.9
105,Leo Kubiak\kubiale01,G,22,WAT,62,,,4.2,12.8,.326,,,,4.2,12.8,.326,.326,3.1,3.8,.814,,,,3.2,,,,4.0,11.5
106,Frank Kudelka\kudelfr01,G-F,24,CHS,65,,,2.6,8.1,.326,,,,2.6,8.1,.326,.326,1.4,2.2,.636,,,,2.0,,,,3.0,6.7
107,Walt Lautenbach\lautewa01,G-F,27,SHE,55,,,1.8,6.0,.301,,,,1.8,6.0,.301,.301,0.7,1.0,.691,,,,1.3,,,,2.2,4.3
108,Tony Lavelli\lavelto01,F,23,BOS,56,,,2.9,7.8,.372,,,,2.9,7.8,.372,.372,3.0,3.5,.853,,,,0.7,,,,1.9,8.8
109,Ed Leede\leedeed01,F-G,22,BOS,64,,,2.7,7.9,.343,,,,2.7,7.9,.343,.343,3.5,4.9,.706,,,,2.0,,,,2.6,8.9
110,Andrew Levane\levanan01,F-G,29,SYR,60,,,2.3,7.0,.333,,,,2.3,7.0,.333,.333,0.9,1.4,.635,,,,2.6,,,,1.8,5.5
111,Freddie Lewis\lewisfr01,F-G,29,TOT,34,,,1.4,5.4,.250,,,,1.4,5.4,.250,.250,0.7,0.9,.781,,,,0.7,,,,1.2,3.4
111,Freddie Lewis\lewisfr01,F-G,29,BLB,18,,,1.4,6.1,.227,,,,1.4,6.1,.227,.227,0.7,1.1,.684,,,,1.0,,,,1.3,3.5
111,Freddie Lewis\lewisfr01,F-G,29,PHW,16,,,1.3,4.6,.284,,,,1.3,4.6,.284,.284,0.8,0.8,.923,,,,0.4,,,,1.1,3.4
112,Ron Livingstone\livinro01,C,24,TOT,54,,,3.0,10.7,.282,,,,3.0,10.7,.282,.282,2.3,3.3,.689,,,,2.6,,,,4.8,8.3
112,Ron Livingstone\livinro01,C,24,BLB,16,,,1.6,6.4,.245,,,,1.6,6.4,.245,.245,2.2,2.9,.761,,,,1.5,,,,3.4,5.3
112,Ron Livingstone\livinro01,C,24,PHW,38,,,3.6,12.6,.289,,,,3.6,12.6,.289,.289,2.3,3.4,.664,,,,3.1,,,,5.4,9.6
113,John Logan\loganjo01,G,29,STB,62,,,4.0,12.2,.331,,,,4.0,12.2,.331,.331,4.1,5.2,.783,,,,3.9,,,,3.3,12.2
114,Ray Lumpp\lumppra01,G,26,NYK,58,,,1.6,4.9,.322,,,,1.6,4.9,.322,.322,1.5,1.9,.796,,,,1.6,,,,2.0,4.6
115,Ed Macauley*\macaued01,C-F,21,STB,67,,,5.2,13.2,.398,,,,5.2,13.2,.398,.398,5.7,7.9,.718,,,,3.0,,,,3.3,16.1
116,Johnny Macknowski\macknjo01,G-F,27,SYR,59,,,2.6,7.8,.333,,,,2.6,7.8,.333,.333,2.2,3.0,.736,,,,1.1,,,,2.2,7.4
117,John Mahnken\mahnkjo01,C,27,TOT,62,,,2.1,8.0,.267,,,,2.1,8.0,.267,.267,1.2,1.9,.670,,,,1.7,,,,3.7,5.5
117,John Mahnken\mahnkjo01,C,27,FTW,2,,,1.5,4.0,.375,,,,1.5,4.0,.375,.375,0.5,1.5,.333,,,,1.0,,,,4.0,3.5
117,John Mahnken\mahnkjo01,C,27,TRI,36,,,2.4,8.9,.266,,,,2.4,8.9,.266,.266,1.5,2.1,.697,,,,1.8,,,,4.1,6.2
117,John Mahnken\mahnkjo01,C,27,BOS,24,,,1.8,7.0,.262,,,,1.8,7.0,.262,.262,1.0,1.5,.639,,,,1.8,,,,3.1,4.6
118,John Mandic\mandijo01,F-C,30,TOT,25,,,0.9,3.0,.293,,,,0.9,3.0,.293,.293,0.9,1.3,.688,,,,0.3,,,,2.2,2.6
118,John Mandic\mandijo01,F-C,30,WSC,22,,,1.0,3.0,.323,,,,1.0,3.0,.323,.323,0.9,1.4,.667,,,,0.3,,,,2.1,2.8
118,John Mandic\mandijo01,F-C,30,BLB,3,,,0.3,3.3,.100,,,,0.3,3.3,.100,.100,0.7,0.7,1.000,,,,0.3,,,,2.3,1.3
119,Slater Martin*\martisl01,PG,24,MNL,67,,,1.6,4.5,.351,,,,1.6,4.5,.351,.351,0.9,1.4,.634,,,,2.2,,,,2.4,4.0
120,Ariel Maughan\maughar01,F,26,STB,68,,,2.4,8.4,.279,,,,2.4,8.4,.279,.279,2.3,3.0,.766,,,,1.5,,,,2.6,7.0
121,Matt Mazza\mazzama01,F,26,SHE,26,,,1.3,4.2,.300,,,,1.3,4.2,.300,.300,1.2,1.7,.711,,,,1.1,,,,1.3,3.8
