Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
97,Howie Schultz\schulho01,PF,29,MNL,66,,19.7,1.3,4.8,.283,,,,1.3,4.8,.283,.283,1.4,1.8,.756,,,3.7,1.5,,,,3.0,4.1
98,Fred Scolari\scolafr01,PG,29,BLB,64,,35.0,4.5,13.5,.334,,,,4.5,13.5,.334,.334,5.5,6.6,.835,,,3.3,4.7,,,,3.3,14.6
99,George Senesky\senesge01,PG,29,PHW,57,,33.8,2.9,8.0,.361,,,,2.9,8.0,.361,.361,2.6,3.4,.753,,,4.1,4.9,,,,2.2,8.3
100,Paul Seymour\seymopa01,SG,24,SYR,66,,33.5,3.1,9.3,.335,,,,3.1,9.3,.335,.335,2.8,3.7,.759,,,3.4,3.3,,,,2.5,9.1
101,Chuck Share\sharech01,C,24,FTW,63,,14.0,1.2,3.7,.322,,,,1.2,3.7,.322,.322,1.5,2.5,.619,,,5.3,1.0,,,,2.2,3.9
102,Bill Sharman*\sharmbi01,SG,25,BOS,63,,22.0,3.9,10.0,.389,,,,3.9,10.0,.389,.389,2.9,3.4,.859,,,3.5,2.4,,,,2.9,10.7
103,Connie Simmons\simmoco01,C,26,NYK,66,,23.6,3.4,9.1,.378,,,,3.4,9.1,.378,.378,2.7,3.8,.689,,,7.1,1.8,,,,3.2,9.5
104,Zeke Sinicola\sinicze01,G,23,FTW,3,,5.0,0.3,1.3,.250,,,,0.3,1.3,.250,.250,0.0,0.7,.000,,,0.3,0.0,,,,0.7,0.7
105,Whitey Skoog\skoogwh01,SG,25,MNL,35,,28.2,2.9,8.5,.345,,,,2.9,8.5,.345,.345,0.9,1.1,.789,,,3.5,1.7,,,,2.7,6.7
106,Jim Slaughter\slaugji01,C,23,BLB,28,,18.8,1.9,5.9,.321,,,,1.9,5.9,.321,.321,1.5,2.4,.603,,,5.3,0.9,,,,2.9,5.3
107,Belus Smawley\smawlbe01,SG,33,BLB,11,,12.6,1.2,5.7,.206,,,,1.2,5.7,.206,.206,1.3,1.5,.824,,,1.6,0.7,,,,0.8,3.6
108,Odie Spears\spearod01,SF,26,ROC,66,,25.3,3.4,8.6,.395,,,,3.4,8.6,.395,.395,1.8,2.3,.763,,,4.6,2.5,,,,3.4,8.6
109,Bill Tosheff\toshebi01,PG,25,INO,65,,31.6,3.3,10.0,.327,,,,3.3,10.0,.327,.327,2.8,3.4,.824,,,3.3,3.4,,,,3.1,9.4
110,Gene Vance\vancege01,G-F,28,MLH,7,,16.9,1.0,3.7,.269,,,,1.0,3.7,.269,.269,1.3,2.0,.643,,,2.1,1.3,,,,2.6,3.3
111,Ernie Vandeweghe\vandeer01,SF,23,NYK,57,,26.4,3.5,8.0,.438,,,,3.5,8.0,.438,.438,2.2,2.8,.775,,,4.6,2.9,,,,3.3,9.2
112,Brady Walker\walkebr01,PF,30,BLB,35,,20.0,2.5,6.2,.410,,,,2.5,6.2,.410,.410,0.7,1.0,.765,,,5.6,1.1,,,,1.1,5.8
113,Paul Walther\walthpa01,SG,24,INO,55,,34.6,4.0,10.0,.401,,,,4.0,10.0,.401,.401,4.2,5.6,.750,,,4.5,2.5,,,,3.1,12.2
114,Bobby Wanzer*\wanzebo01,SG,30,ROC,66,,37.8,5.0,11.7,.425,,,,5.0,11.7,.425,.425,5.7,6.3,.904,,,5.0,4.0,,,,3.0,15.7
115,Bob Wilson\wilsobo01,PG,25,MLH,63,,20.8,1.3,4.2,.299,,,,1.3,4.2,.299,.299,1.2,2.1,.578,,,3.3,1.7,,,,2.7,3.7
116,Max Zaslofsky\zasloma01,SG,26,NYK,66,,32.0,4.9,14.5,.336,,,,4.9,14.5,.336,.336,4.3,5.8,.755,,,2.9,2.4,,,,2.8,14.1
