Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
95,Shawn Kemp\kempsh01,PF,23,SEA,19,19,663,110,215,.512,0,0,,110,215,.512,.512,93,115,.809,80,110,190,49,29,40,54,78,313
96,Jerome Kersey\kerseje01,SF,30,POR,4,1,98,22,42,.524,1,1,1.000,21,41,.512,.536,12,17,.706,10,24,34,4,4,2,2,15,57
97,Bernard King*\kingbe01,SF,36,NJN,3,1,24,4,7,.571,0,0,,4,7,.571,.571,0,0,,1,0,1,0,1,0,1,3,8
98,Stacey King\kingst01,C,26,CHI,19,0,229,26,66,.394,0,0,,26,66,.394,.394,25,31,.806,20,20,40,14,9,4,14,38,77
99,Joe Kleine\kleinjo01,C,31,BOS,4,0,29,3,5,.600,0,0,,3,5,.600,.600,0,0,,0,5,5,0,0,1,0,4,6
100,Negele Knight\knighne01,PG,25,PHO,9,1,34,9,16,.563,0,0,,9,16,.563,.563,0,0,,1,2,3,7,0,1,3,1,18
101,Jon Koncak\koncajo01,C,29,ATL,3,3,89,1,10,.100,0,0,,1,10,.100,.100,1,2,.500,8,16,24,4,3,5,2,9,3
102,Larry Krystkowiak\krystla01,PF,28,UTA,1,0,8,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,0,0,1,1,0
103,Reggie Lewis\lewisre01,SG,27,BOS,1,1,13,7,11,.636,0,1,.000,7,10,.700,.636,3,4,.750,2,0,2,1,0,1,1,1,17
104,Kevin Lynch\lynchke01,SG,24,CHH,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
105,Rick Mahorn\mahorri01,PF,34,NJN,4,2,63,4,10,.400,0,0,,4,10,.400,.400,0,0,,4,9,13,3,0,2,1,9,8
106,Dan Majerle\majerda01,SG,27,PHO,24,24,1071,134,311,.431,54,137,.394,80,174,.460,.518,48,69,.696,29,111,140,88,33,28,32,57,370
107,Jeff Malone\malonje01,SG,31,UTA,5,5,150,29,65,.446,0,0,,29,65,.446,.446,9,13,.692,3,13,16,3,3,1,9,11,67
108,Karl Malone*\malonka01,PF,29,UTA,5,5,216,44,97,.454,1,2,.500,43,95,.453,.459,31,38,.816,12,40,52,10,6,2,20,21,120
109,Danny Manning\mannida01,PF,26,LAC,5,5,171,35,85,.412,0,2,.000,35,83,.422,.412,21,26,.808,12,24,36,8,7,5,13,19,91
110,Anthony Mason\masonan01,PF,26,NYK,15,0,510,72,122,.590,0,0,,72,122,.590,.590,43,68,.632,55,54,109,41,10,6,23,50,187
111,Vernon Maxwell\maxweve01,SG,27,HOU,9,7,308,47,117,.402,11,46,.239,36,71,.507,.449,21,24,.875,3,19,22,32,11,2,17,17,126
112,Travis Mays\maystr01,PG,24,ATL,1,0,20,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,1,1,0,0,0,1,3,4
113,George McCloud\mccloge01,SF,25,IND,4,0,79,8,23,.348,2,12,.167,6,11,.545,.391,1,4,.250,3,8,11,14,4,1,5,14,19
114,Rodney McCray\mccraro01,SF,31,CHI,7,0,39,1,6,.167,0,0,,1,6,.167,.167,0,0,,2,11,13,5,0,1,4,4,2
115,Xavier McDaniel\mcdanxa01,PF,29,BOS,4,0,126,22,53,.415,0,2,.000,22,51,.431,.415,6,9,.667,6,12,18,9,1,3,7,16,50
116,Kevin McHale*\mchalke01,PF,35,BOS,4,0,113,32,55,.582,0,0,,32,55,.582,.582,12,14,.857,9,20,29,3,2,7,5,6,76
117,Derrick McKey\mckeyde01,SF,26,SEA,19,17,647,83,158,.525,2,5,.400,81,153,.529,.532,46,69,.667,51,47,98,71,12,17,36,51,214
118,Nate McMillan\mcmilna01,PG,28,SEA,19,2,415,35,103,.340,5,24,.208,30,79,.380,.364,16,30,.533,21,46,67,103,40,11,25,54,91
119,Oliver Miller\milleol01,C,22,PHO,24,0,513,71,121,.587,0,2,.000,71,119,.597,.587,31,55,.564,33,91,124,51,21,59,42,76,173
120,Reggie Miller*\millere01,SG,27,IND,4,4,175,40,75,.533,10,19,.526,30,56,.536,.600,36,38,.947,4,8,12,11,3,0,10,11,126
121,Sam Mitchell\mitchsa01,SF,29,IND,4,0,25,5,8,.625,0,0,,5,8,.625,.625,2,2,1.000,0,1,1,0,0,0,2,4,12
122,Chris Morris\morrich01,SF,27,NJN,5,4,163,34,61,.557,6,16,.375,28,45,.622,.607,11,12,.917,13,19,32,7,8,6,3,8,85
123,Alonzo Mourning*\mournal01,C,22,CHH,9,9,367,71,148,.480,0,2,.000,71,146,.486,.480,72,93,.774,28,61,89,13,6,31,37,37,214
124,Jerrod Mustaf\mustaje01,PF,23,PHO,7,0,10,3,5,.600,0,0,,3,5,.600,.600,0,0,,0,2,2,0,0,1,0,0,6
125,Larry Nance\nancela01,PF,33,CLE,9,9,329,61,108,.565,0,0,,61,108,.565,.565,23,30,.767,35,39,74,21,8,14,6,33,145
126,Johnny Newman\newmajo01,SF,29,CHH,9,9,173,28,55,.509,1,5,.200,27,50,.540,.518,11,16,.688,7,12,19,18,10,1,15,19,68
127,Ken Norman\normake01,SF,28,LAC,5,5,164,25,67,.373,3,8,.375,22,59,.373,.396,11,22,.500,14,27,41,12,4,0,1,8,64
128,Charles Oakley\oaklech01,PF,29,NYK,15,15,507,63,131,.481,0,0,,63,131,.481,.481,40,55,.727,71,94,165,17,16,2,36,51,166
129,Hakeem Olajuwon*\olajuha01,C,30,HOU,12,12,518,123,238,.517,0,1,.000,123,237,.519,.517,62,75,.827,52,116,168,57,21,59,45,37,308
130,Gerald Paddio\paddige01,SF,27,SEA,9,0,30,7,14,.500,0,1,.000,7,13,.538,.500,0,0,,1,2,3,4,2,1,2,1,14
131,Robert Parish*\parisro01,C,39,BOS,4,4,146,31,57,.544,0,0,,31,57,.544,.544,6,7,.857,13,25,38,5,1,6,6,14,68
132,John Paxson\paxsojo01,PG,32,CHI,19,0,331,35,60,.583,15,24,.625,20,36,.556,.708,8,11,.727,5,14,19,32,6,1,4,30,93
133,Gary Payton*\paytoga01,PG,24,SEA,19,19,605,104,235,.443,1,6,.167,103,229,.450,.445,25,37,.676,22,41,63,70,34,3,34,64,234
134,Will Perdue\perduwi01,C,27,CHI,13,0,101,10,20,.500,0,0,,10,20,.500,.500,5,10,.500,15,15,30,5,1,2,8,18,25
135,Sam Perkins\perkisa01,PF,31,SEA,19,17,626,98,225,.436,30,79,.380,68,146,.466,.502,48,55,.873,33,100,133,37,19,25,21,55,274
136,Drazen Petrovic*\petrodr01,SG,28,NJN,5,5,193,30,66,.455,2,6,.333,28,60,.467,.470,16,20,.800,2,7,9,9,2,0,22,18,78
137,Bobby Phills\phillbo01,SG,23,CLE,2,0,9,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,0,0,0,0,0,1,0,4
138,Ricky Pierce\piercri01,SG,33,SEA,19,19,578,123,270,.456,12,30,.400,111,240,.463,.478,79,88,.898,17,29,46,42,12,4,28,40,337
139,Scottie Pippen*\pippesc01,SF,27,CHI,19,19,789,152,327,.465,3,17,.176,149,310,.481,.469,74,116,.638,37,95,132,107,41,13,71,62,381
140,Terry Porter\portete01,PG,29,POR,4,4,152,27,68,.397,3,19,.158,24,49,.490,.419,9,11,.818,4,16,20,8,4,0,6,10,66
141,Mark Price\pricema01,PG,28,CLE,9,9,288,43,97,.443,8,26,.308,35,71,.493,.485,23,24,.958,1,18,19,55,15,0,33,13,117
142,J.R. Reid\reidjr01,PF,24,SAS,10,2,220,29,60,.483,0,2,.000,29,58,.500,.483,27,35,.771,16,34,50,15,8,8,13,31,85
143,Pooh Richardson\richapo01,PG,26,IND,4,1,95,6,15,.400,1,1,1.000,5,14,.357,.433,4,6,.667,1,10,11,23,2,0,6,7,17
144,Doc Rivers\riverdo01,PG,31,NYK,15,15,458,48,106,.453,11,31,.355,37,75,.493,.505,46,60,.767,6,33,39,86,29,1,30,44,153
145,Stanley Roberts\roberst01,C,22,LAC,5,5,149,26,50,.520,0,1,.000,26,49,.531,.520,5,18,.278,17,24,41,1,3,3,10,24,57
146,Clifford Robinson\robincl02,PF,26,POR,4,0,131,16,61,.262,0,1,.000,16,60,.267,.262,9,22,.409,10,7,17,6,6,7,8,17,41
147,David Robinson*\robinda01,C,27,SAS,10,10,421,79,170,.465,0,1,.000,79,169,.467,.465,73,110,.664,29,97,126,40,10,36,25,39,231
148,Rumeal Robinson\robinru01,PG,26,NJN,5,5,136,21,49,.429,2,7,.286,19,42,.452,.449,5,7,.714,4,8,12,35,5,0,20,18,49
149,Tree Rollins\rollitr01,C,37,HOU,6,0,16,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,1,3,4,0,2,0,0,2,0
150,Mike Sanders\sandemi01,SF,32,CLE,8,7,145,20,48,.417,0,2,.000,20,46,.435,.417,6,10,.600,8,10,18,10,8,1,3,17,46
151,Steve Scheffler\schefst01,C,25,SEA,9,0,22,5,10,.500,0,0,,5,10,.500,.500,4,4,1.000,6,4,10,1,2,0,0,1,14
152,Dwayne Schintzius\schindw01,C,24,NJN,5,0,106,13,29,.448,0,0,,13,29,.448,.448,3,6,.500,6,19,25,4,1,6,3,12,29
153,Detlef Schrempf\schrede01,PF,30,IND,4,4,165,25,54,.463,0,2,.000,25,52,.481,.463,28,36,.778,3,20,23,29,1,2,17,14,78
154,Byron Scott\scottby01,SG,31,LAL,5,5,177,21,42,.500,8,15,.533,13,27,.481,.595,18,23,.783,0,11,11,9,5,0,4,11,68
155,Malik Sealy\sealyma01,SF,22,IND,3,0,18,0,5,.000,0,1,.000,0,4,.000,.000,2,2,1.000,2,0,2,0,0,0,1,1,2
156,Charles Smith\smithch01,SF,27,NYK,15,15,388,65,138,.471,0,0,,65,138,.471,.471,37,50,.740,27,33,60,20,9,14,29,52,167
157,Kenny Smith\smithke01,PG,27,HOU,12,12,391,63,128,.492,23,46,.500,40,82,.488,.582,28,36,.778,2,22,24,50,9,1,26,18,177
158,Larry Smith\smithla01,PF,35,SAS,6,0,50,2,3,.667,0,0,,2,3,.667,.667,3,4,.750,8,8,16,1,4,2,1,16,7
159,Tony Smith\smithto02,SG,24,LAL,5,0,73,13,25,.520,2,4,.500,11,21,.524,.560,6,9,.667,5,3,8,2,1,1,3,14,34
160,Rik Smits\smitsri01,C,26,IND,4,4,143,37,64,.578,0,1,.000,37,63,.587,.578,16,22,.727,13,19,32,7,5,4,8,18,90
161,Elmore Spencer\spencel01,C,23,LAC,2,0,4,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,0,1,0,0,0,0,1,0
162,John Starks\starkjo01,SG,27,NYK,15,15,575,88,200,.440,28,75,.373,60,125,.480,.510,43,60,.717,4,48,52,96,15,3,55,57,247
163,John Stockton*\stockjo01,PG,30,UTA,5,5,193,23,51,.451,5,13,.385,18,38,.474,.500,15,18,.833,5,7,12,55,12,0,15,16,66
164,Rod Strickland\stricro02,SG,26,POR,4,4,156,22,52,.423,0,1,.000,22,51,.431,.423,10,12,.833,9,17,26,37,5,2,7,10,54
165,Terry Teagle\teaglte01,SG,32,HOU,5,0,12,2,5,.400,0,0,,2,5,.400,.400,0,2,.000,0,0,0,0,0,0,3,1,4
166,LaSalle Thompson\thompla01,C,31,IND,4,0,73,5,15,.333,0,0,,5,15,.333,.333,5,6,.833,7,7,14,3,3,2,4,9,15
167,Otis Thorpe\thorpot01,PF,30,HOU,12,12,419,73,115,.635,0,0,,73,115,.635,.635,28,43,.651,36,67,103,31,6,1,17,35,174
168,Sedale Threatt\threase01,PG,31,LAL,5,5,205,39,89,.438,3,13,.231,36,76,.474,.455,9,12,.750,3,14,17,40,13,1,12,19,90
169,Trent Tucker\tucketr01,SG,33,CHI,19,0,208,19,46,.413,12,26,.462,7,20,.350,.543,3,6,.500,4,13,17,19,7,0,7,15,53
170,Kiki Vandeweghe\vandeki01,SF,34,LAC,1,0,9,2,6,.333,0,0,,2,6,.333,.333,0,0,,0,0,0,1,1,0,1,0,4
171,Loy Vaught\vaughlo01,PF,24,LAC,3,0,50,6,15,.400,0,0,,6,15,.400,.400,4,5,.800,4,14,18,0,4,1,3,7,16
172,Darrell Walker\walkeda01,PG,31,CHI,9,0,22,1,4,.250,0,0,,1,4,.250,.250,2,3,.667,0,1,1,5,0,0,1,0,4
173,Mark West\westma01,C,32,PHO,24,24,469,43,79,.544,0,0,,43,79,.544,.544,28,46,.609,36,63,99,11,4,33,17,69,114
174,Dominique Wilkins*\wilkido01,SF,33,ATL,3,3,113,32,75,.427,3,12,.250,29,63,.460,.447,23,30,.767,12,4,16,9,3,1,10,8,90
175,Gerald Wilkins\wilkige01,SF,29,CLE,9,2,236,38,87,.437,4,12,.333,34,75,.453,.460,13,17,.765,6,10,16,24,9,2,11,16,93
176,Buck Williams\willibu01,PF,32,POR,4,4,119,11,23,.478,0,0,,11,23,.478,.478,13,19,.684,12,17,29,1,1,3,6,12,35
177,Herb Williams\willihe01,C,34,NYK,7,0,69,5,14,.357,0,0,,5,14,.357,.357,4,4,1.000,5,9,14,2,1,4,2,13,14
178,Hot Rod Williams\williho01,C,30,CLE,9,0,237,30,75,.400,0,0,,30,75,.400,.400,21,28,.750,12,29,41,17,5,14,11,26,81
179,John Williams\willijo02,SF,26,LAC,5,0,98,4,18,.222,2,3,.667,2,15,.133,.278,1,2,.500,5,9,14,7,5,0,6,17,11
180,Kenny Williams\willike03,SF,23,IND,2,0,11,1,1,1.000,0,0,,1,1,1.000,1.000,0,2,.000,0,0,0,2,0,2,1,1,2
181,Lorenzo Williams\willilo01,PF,23,BOS,1,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2
182,Scott Williams\willisc01,PF,24,CHI,19,0,395,44,87,.506,0,2,.000,44,85,.518,.506,16,29,.552,40,71,111,26,7,17,24,58,104
183,Kevin Willis\willike02,PF,30,ATL,3,3,103,21,45,.467,0,1,.000,21,44,.477,.467,8,14,.571,13,13,26,3,2,0,7,13,50
184,David Wingate\wingada01,SF,29,CHH,9,0,117,8,22,.364,0,0,,8,22,.364,.364,3,8,.375,4,8,12,15,4,1,1,9,19
185,Joe Wolf\wolfjo01,C,28,POR,2,0,20,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,2,4,0,0,1,0,1,2
186,David Wood\woodda01,PF,28,SAS,5,0,20,2,4,.500,1,1,1.000,1,3,.333,.625,0,0,,1,2,3,1,0,0,0,7,5
187,James Worthy*\worthja01,SF,31,LAL,5,0,148,32,86,.372,2,8,.250,30,78,.385,.384,3,5,.600,7,10,17,13,5,0,7,11,69
